COMMON NAME,SCIENTIFIC NAME,CONSERVATION STATUS
Sea Turtle,Cheloniidae and Dermochelyidae families,Endangered
Vaquita,Phocoena sinus,Critically Endangered
Whale Shark,Rhincodon typus,Endangered
Dugong,Dugong dugon,Vulnerable
Humphead Wrasse,Cheilinus undulatus,Endangered
Pacific Salmon,,
Dolphins and Porpoises,,
Whale,"Balaenoptera, Balaena, Eschrichtius, and Eubalaen",Endangered
Seals,,
Sea Lions,Zalophus wollebaeki,Endangered
Marine Iguana,Amblyrhynchus cristatus,Vulnerable
Tuna,Thunnus and Katsuwonus species,
Bluefin Tuna,Thunnus Thynnus,Endangered
Sei Whale,Balaenoptera borealis,Endangered
Yellowfin Tuna,Thunnus albacares,Near Threatened
Hawksbill Turtle,Eretmochelys imbricata,Critically Endangered
Skipjack Tuna,Katsuwonus pelamis,Least Concern
Great White Shark,Carcharodon carcharias,Vulnerable
Loggerhead Turtle,Caretta caretta,Vulnerable
Leatherback Turtle,Dermochelys coriacea,Vulnerable
Green Turtle,Chelonia mydas,Endangered
Olive Ridley Turtle,Lepidochelys olivacea,Vulnerable
Albacore Tuna,Thunnus alalunga,Near Threatened
Bigeye Tuna,Thunnus obesus,Vulnerable
North Atlantic Right Whale,Eubalaena glacialis,Endangered
Blue Whale,Balaenoptera musculus,Endangered
Fin Whale,Balaenoptera physalus,Endangered
Bowhead Whale,Balaena mysticetus,Least Concern
Gray Whale,Eschrichtius robustus,Least Concern
Hector's Dolphin,Cephalorhynchus hectori,Endangered
Galápagos Penguin,Spheniscus mendiculus,Endangered
Shark,,
Polar Bear,Ursus maritimus,Vulnerable
Narwhal,Monodon monoceros,Least Concern
Beluga,Delphinapterus leucas,Near Threatened
